ip,method,status,is_error,request_count,error_ratio,status_group,anomaly
198.51.100.17,GET,500,1,1,1.0,5,-1
198.51.100.18,DELETE,200,0,1,0.0,2,1
198.51.100.19,PATCH,404,1,1,1.0,4,1
198.51.100.20,GET,200,0,1,0.0,2,1
192.168.2.1,GET,200,0,1,0.0,2,1
192.168.2.2,POST,401,1,3,0.3333333333333333,4,1
192.168.2.2,POST,401,1,3,0.3333333333333333,4,1
192.168.2.2,POST,401,1,3,0.3333333333333333,4,1
192.168.2.3,GET,200,0,1,0.0,2,1
192.168.2.4,DELETE,404,1,1,1.0,4,1
192.168.2.5,PUT,200,0,1,0.0,2,1
192.168.2.6,GET,500,1,1,1.0,5,-1
192.168.2.7,POST,201,0,1,0.0,2,-1
192.168.2.8,GET,200,0,1,0.0,2,1
192.168.2.9,PATCH,403,1,1,1.0,4,1
192.168.2.10,GET,200,0,1,0.0,2,1
192.168.2.11,POST,200,0,1,0.0,2,1
192.168.2.12,DELETE,200,0,1,0.0,2,1
192.168.2.13,GET,404,1,1,1.0,4,1
192.168.2.14,PUT,200,0,1,0.0,2,1
192.168.2.15,GET,200,0,1,0.0,2,1
192.168.2.16,POST,500,1,1,1.0,5,-1
192.168.2.17,GET,200,0,1,0.0,2,1
192.168.2.18,PATCH,401,1,2,0.5,4,-1
192.168.2.18,PATCH,401,1,2,0.5,4,-1
192.168.2.19,GET,200,0,1,0.0,2,1
192.168.2.20,DELETE,403,1,1,1.0,4,1
10.10.0.1,GET,200,0,1,0.0,2,1
10.10.0.2,POST,201,0,1,0.0,2,-1
10.10.0.3,GET,404,1,1,1.0,4,1
10.10.0.4,PUT,200,0,1,0.0,2,1
10.10.0.5,DELETE,403,1,1,1.0,4,1
10.10.0.6,GET,200,0,1,0.0,2,1
10.10.0.7,POST,401,1,4,0.25,4,-1
10.10.0.7,POST,401,1,4,0.25,4,-1
10.10.0.7,POST,401,1,4,0.25,4,-1
10.10.0.7,POST,401,1,4,0.25,4,-1
10.10.0.8,GET,200,0,1,0.0,2,1
10.10.0.9,PATCH,500,1,1,1.0,5,-1
10.10.0.10,GET,200,0,1,0.0,2,1
10.10.0.11,POST,200,0,1,0.0,2,1
10.10.0.12,DELETE,404,1,1,1.0,4,1
10.10.0.13,GET,200,0,1,0.0,2,1
10.10.0.14,PUT,403,1,1,1.0,4,1
10.10.0.15,GET,200,0,1,0.0,2,1
10.10.0.16,POST,201,0,1,0.0,2,-1
10.10.0.17,GET,500,1,1,1.0,5,-1
10.10.0.18,DELETE,200,0,1,0.0,2,1
10.10.0.19,PATCH,200,0,1,0.0,2,1
10.10.0.20,GET,404,1,1,1.0,4,1
10.20.0.1,GET,200,0,1,0.0,2,1
10.20.0.2,POST,401,1,2,0.5,4,-1
10.20.0.2,POST,401,1,2,0.5,4,-1
10.20.0.3,GET,200,0,1,0.0,2,1
10.20.0.4,DELETE,200,0,1,0.0,2,1
10.20.0.5,PUT,404,1,1,1.0,4,1
10.20.0.6,GET,500,1,1,1.0,5,-1
10.20.0.7,POST,201,0,1,0.0,2,-1
10.20.0.8,GET,200,0,1,0.0,2,1
10.20.0.9,PATCH,403,1,1,1.0,4,1
10.20.0.10,GET,200,0,1,0.0,2,1
10.20.0.11,POST,200,0,1,0.0,2,1
10.20.0.12,DELETE,404,1,1,1.0,4,1
10.20.0.13,GET,200,0,1,0.0,2,1
10.20.0.14,PUT,500,1,1,1.0,5,-1
10.20.0.15,GET,200,0,1,0.0,2,1
10.20.0.16,POST,401,1,3,0.3333333333333333,4,1
10.20.0.16,POST,401,1,3,0.3333333333333333,4,1
10.20.0.16,POST,401,1,3,0.3333333333333333,4,1
10.20.0.17,GET,200,0,1,0.0,2,1
10.20.0.18,PATCH,200,0,1,0.0,2,1
10.20.0.19,GET,403,1,1,1.0,4,1
10.20.0.20,DELETE,200,0,1,0.0,2,1
172.31.0.1,GET,200,0,1,0.0,2,1
172.31.0.2,POST,201,0,1,0.0,2,-1
172.31.0.3,GET,404,1,1,1.0,4,1
172.31.0.4,PUT,200,0,1,0.0,2,1
172.31.0.5,DELETE,403,1,1,1.0,4,1
172.31.0.6,GET,200,0,1,0.0,2,1
172.31.0.7,POST,500,1,1,1.0,5,-1
172.31.0.8,GET,200,0,1,0.0,2,1
172.31.0.9,PATCH,200,0,1,0.0,2,1
172.31.0.10,GET,404,1,1,1.0,4,1
172.31.0.11,POST,401,1,4,0.25,4,-1
172.31.0.11,POST,401,1,4,0.25,4,-1
172.31.0.11,POST,401,1,4,0.25,4,-1
172.31.0.11,POST,401,1,4,0.25,4,-1
172.31.0.12,DELETE,200,0,1,0.0,2,1
172.31.0.13,GET,200,0,1,0.0,2,1
172.31.0.14,PUT,403,1,1,1.0,4,1
172.31.0.15,GET,200,0,1,0.0,2,1
172.31.0.16,POST,201,0,1,0.0,2,-1
172.31.0.17,GET,500,1,1,1.0,5,-1
172.31.0.18,DELETE,200,0,1,0.0,2,1
172.31.0.19,PATCH,404,1,1,1.0,4,1
172.31.0.20,GET,200,0,1,0.0,2,1
192.168.3.1,GET,200,0,1,0.0,2,1
192.168.3.2,POST,401,1,3,0.3333333333333333,4,1
192.168.3.2,POST,401,1,3,0.3333333333333333,4,1
192.168.3.2,POST,401,1,3,0.3333333333333333,4,1
192.168.3.3,GET,200,0,1,0.0,2,1
192.168.3.4,DELETE,404,1,1,1.0,4,1
192.168.3.5,PUT,200,0,1,0.0,2,1
192.168.3.6,GET,500,1,1,1.0,5,-1
192.168.3.7,POST,201,0,1,0.0,2,-1
192.168.3.8,GET,200,0,1,0.0,2,1
192.168.3.9,PATCH,403,1,1,1.0,4,1
192.168.3.10,GET,200,0,1,0.0,2,1
192.168.3.11,POST,200,0,1,0.0,2,1
192.168.3.12,DELETE,200,0,1,0.0,2,1
192.168.3.13,GET,404,1,1,1.0,4,1
192.168.3.14,PUT,200,0,1,0.0,2,1
192.168.3.15,GET,200,0,1,0.0,2,1
192.168.3.16,POST,500,1,1,1.0,5,-1
192.168.3.17,GET,200,0,1,0.0,2,1
192.168.3.18,PATCH,200,0,1,0.0,2,1
192.168.3.19,GET,403,1,1,1.0,4,1
192.168.3.20,DELETE,200,0,1,0.0,2,1
192.168.4.1,GET,200,0,1,0.0,2,1
192.168.4.2,POST,201,0,1,0.0,2,-1
192.168.4.3,GET,404,1,1,1.0,4,1
192.168.4.4,PUT,200,0,1,0.0,2,1
192.168.4.5,DELETE,403,1,1,1.0,4,1
192.168.4.6,GET,200,0,1,0.0,2,1
192.168.4.7,POST,401,1,3,0.3333333333333333,4,1
192.168.4.7,POST,401,1,3,0.3333333333333333,4,1
192.168.4.7,POST,401,1,3,0.3333333333333333,4,1
192.168.4.8,GET,200,0,1,0.0,2,1
192.168.4.9,PATCH,500,1,1,1.0,5,-1
192.168.4.10,GET,200,0,1,0.0,2,1
192.168.4.11,POST,200,0,1,0.0,2,1
192.168.4.12,DELETE,404,1,1,1.0,4,1
192.168.4.13,GET,200,0,1,0.0,2,1
192.168.4.14,PUT,403,1,1,1.0,4,1
192.168.4.15,GET,200,0,1,0.0,2,1
192.168.4.16,POST,201,0,1,0.0,2,-1
192.168.4.17,GET,500,1,1,1.0,5,-1
192.168.4.18,DELETE,200,0,1,0.0,2,1
192.168.4.19,PATCH,200,0,1,0.0,2,1
192.168.4.20,GET,404,1,1,1.0,4,1
