ip,method,status
10.10.0.17,GET,500
10.10.0.18,DELETE,200
10.10.0.19,PATCH,200
10.10.0.20,GET,404
10.20.0.1,GET,200
10.20.0.2,POST,401
10.20.0.2,POST,401
10.20.0.3,GET,200
10.20.0.4,DELETE,200
10.20.0.5,PUT,404
10.20.0.6,GET,500
10.20.0.7,POST,201
10.20.0.8,GET,200
10.20.0.9,PATCH,403
10.20.0.10,GET,200
10.20.0.11,POST,200
10.20.0.12,DELETE,404
10.20.0.13,GET,200
10.20.0.14,PUT,500
10.20.0.15,GET,200
10.20.0.16,POST,401
10.20.0.16,POST,401
10.20.0.16,POST,401
10.20.0.17,GET,200
10.20.0.18,PATCH,200
10.20.0.19,GET,403
10.20.0.20,DELETE,200
172.31.0.1,GET,200
172.31.0.2,POST,201
172.31.0.3,GET,404
172.31.0.4,PUT,200
172.31.0.5,DELETE,403
172.31.0.6,GET,200
172.31.0.7,POST,500
172.31.0.8,GET,200
172.31.0.9,PATCH,200
172.31.0.10,GET,404
172.31.0.11,POST,401
172.31.0.11,POST,401
172.31.0.11,POST,401
172.31.0.11,POST,401
172.31.0.12,DELETE,200
172.31.0.13,GET,200
172.31.0.14,PUT,403
172.31.0.15,GET,200
172.31.0.16,POST,201
172.31.0.17,GET,500
172.31.0.18,DELETE,200
172.31.0.19,PATCH,404
172.31.0.20,GET,200
192.168.3.1,GET,200
192.168.3.2,POST,401
192.168.3.2,POST,401
192.168.3.2,POST,401
192.168.3.3,GET,200
192.168.3.4,DELETE,404
192.168.3.5,PUT,200
192.168.3.6,GET,500
192.168.3.7,POST,201
192.168.3.8,GET,200
192.168.3.9,PATCH,403
192.168.3.10,GET,200
192.168.3.11,POST,200
192.168.3.12,DELETE,200
192.168.3.13,GET,404
192.168.3.14,PUT,200
192.168.3.15,GET,200
192.168.3.16,POST,500
192.168.3.17,GET,200
192.168.3.18,PATCH,200
192.168.3.19,GET,403
192.168.3.20,DELETE,200
192.168.4.1,GET,200
192.168.4.2,POST,201
192.168.4.3,GET,404
192.168.4.4,PUT,200
192.168.4.5,DELETE,403
192.168.4.6,GET,200
192.168.4.7,POST,401
192.168.4.7,POST,401
192.168.4.7,POST,401
192.168.4.8,GET,200
192.168.4.9,PATCH,500
192.168.4.10,GET,200
192.168.4.11,POST,200
192.168.4.12,DELETE,404
192.168.4.13,GET,200
192.168.4.14,PUT,403
192.168.4.15,GET,200
192.168.4.16,POST,201
192.168.4.17,GET,500
192.168.4.18,DELETE,200
192.168.4.19,PATCH,200
192.168.4.20,GET,404
